,,,,,,,,,," 16,542,750,383 "
Accounting Period Year,Accounting Period Month,Month Manufactured,Day Manufactured,Year Manufactured,Plant of Manufacture,Train,Plant Code,Trade Product Code,Value Center Code, Inventory Net Weight LBS 
2013,02,July,16,2012,Plant W,6A,1152,00013472,00009995," 634,412 "
2013,02,July,16,2012,Plant W,6B,1152,00013472,00009995," 617,145 "
2013,02,July,17,2012,Plant W,6A,1152,00013472,00009995, 3 
2013,02,July,20,2012,Plant C,55,1126,00047056,00007129," 91,179 "
2013,02,July,22,2012,Plant X,A5,1155,00086089,00010270," 853,611 "
2013,02,July,23,2012,Plant C,33,1116,00098133,00021701," 117,165 "
2013,02,July,26,2012,Plant U,1A,1164,00048669,00010269," 216,758 "
2013,02,July,28,2012,Plant W,2E,1152,00092980,00009995," 367,393 "
2013,02,July,30,2012,Plant W,4C,1112,00027258,00009995," 644,320 "
2013,02,August,01,2012,Plant X,1B,1155,00128148,00007961," 53,608 "
2013,02,August,02,2012,Plant N,3A,1111,00097746,00007129," 194,801 "
2013,02,August,04,2012,Plant A,3A,1160,00061671,00007129," 415,347 "
2013,02,August,04,2012,Plant C,42,1126,00066243,00007960," 538,368 "
2013,02,August,04,2012,Plant C,53,1163,00000503,00007129," 472,908 "
2013,02,August,04,2012,Plant R,1A,1123,00104970,00009995," 117,433 "
2013,02,August,04,2012,Plant T,D1,1149,00243373,00009995," 673,898 "
2013,02,August,05,2012,Plant C,41,1126,00066243,00007960," 507,724 "
2013,02,August,10,2012,Plant C,X1,1126,00041456,00007960," 49,659 "
2013,02,August,10,2012,Plant R,2F,1113,00131996,00009995," 149,897 "
2013,02,August,11,2012,Plant R,2B,1112,00131996,00009995," 634,266 "
2013,02,August,11,2012,Plant W,3B,1117,00092900,00009995," 453,370 "
2013,02,August,13,2012,Plant T,3D,1149,00098629,00010270," 810,006 "
2013,02,August,13,2012,Plant X,1A,1166,00086032,00010269," 758,566 "
2013,02,August,16,2012,Plant W,S1,1152,00126570,00009995," 629,166 "
2013,02,August,16,2012,Plant W,S2,1152,00126570,00009995," 631,643 "
2013,02,August,17,2012,Plant C,14,1126,00236242,00007119," 160,280 "
2013,02,August,17,2012,Plant W,2C,1152,00126570,00009995," 637,457 "
2013,02,August,18,2012,Plant W,S1,1152,00188515,00009995," 60,833 "
2013,02,August,19,2012,Plant R,1F,1124,00086301,00009995," 595,158 "
2013,02,August,19,2012,Plant R,1G,1124,00086301,00009995," 216,595 "
2013,02,August,20,2012,Plant Q,11,1116,00108437,00007960," 481,250 "
2013,02,August,20,2012,Plant R,1B,1124,00086301,00009995," 638,118 "
2013,02,August,21,2012,Plant X,1A,1166,00086135,00010270, 1 
2013,02,August,21,2012,Plant X,1B,1155,00086135,00010270," 272,201 "
2013,02,August,22,2012,Plant N,2C,1116,00108347,00007129," 429,677 "
2013,02,August,22,2012,Plant Q,11,1116,00108437,00007960," 489,000 "
2013,02,August,22,2012,Plant R,2H,1156,00021932,00009995," 171,997 "
2013,02,August,23,2012,Plant Q,13,1116,00108437,00007960," 482,750 "
2013,02,August,24,2012,Plant X,1A,1155,00092869,00009995," 488,446 "
2013,02,August,26,2012,Plant M,45,1116,00184592,00007119," 105,601 "
2013,02,September,05,2012,Plant R,1C,1124,00086301,00009995," 637,471 "
2013,02,September,06,2012,Plant R,1B,1130,00006657,00009995," 642,717 "
2013,02,September,06,2012,Plant W,3A,1112,00013472,00009995," 642,280 "
2013,02,September,07,2012,Plant C,11,1126,00236242,00007119," 387,484 "
2013,02,September,10,2012,Plant X,3A,1141,00086094,00010270," 846,124 "
2013,02,September,10,2012,Plant X,A3,1155,00086094,00010270," 845,683 "
2013,02,September,11,2012,Plant W,3A,1152,00113656,00009995," 635,144 "
